설치장소명	설치장소상세	설치시도명	설치시군구명	설치시설구분	서비스제공사명	와이파이SSID	설치년월	소재지도로명주소	소재지지번주소	관리기관명	관리기관전화번호	위도	경도	데이터기준일자
울산동구청 국민체육센터	민원실	울산광역시	동구	지역문화시설	SK	Public Wifi	11-Oct	울산광역시 동구 봉수로 153	울산광역시 동구 화정동 208-20	울산광역시 동구청	052-209-3140	35.503497	129.416357	2018-01-01
종합자원봉사센터	사무실	대구광역시	서구	서민·복지시설	KT	public Wifi		대구광역시 서구 국채보상로399	대구광역시 서구 비산동 399-34	대구광역시 서구청	053-663-2473	35.872247	128.574764	2018-02-20
울산동구청 꽃바위문화관	민원실	울산광역시	동구	지역문화시설	SK	Public Wifi	11-Oct	울산광역시 동구 문현3길 6	울산광역시 동구 방어동 1120-1	울산광역시 동구청	052-209-3140	35.487061	129.411324	2018-01-01
종합사회복지관	민원실	울산광역시	동구	서민·복지시설	SK	Public Wifi	11-Oct	울산광역시 동구 봉수로 155	울산광역시 동구 화정동 222	울산광역시 동구청	052-209-3140	35.506113	129.417309	2018-01-01
다래어린이공원	응암동 751-22 (공원CCTV)	서울특별시	은평구	기타	SK	Public WiFi@Seoul	16-Nov	서울특별시 은평구 응암로12길 12-43	서울특별시 은평구 응암동 751-22 (공원CCTV)	서울특별시청	02-2133-2871	37.587172	126.919058	2018-02-14
원대시장	시장내	대구광역시	서구	기타	KT	public Wifi		대구광역시 서구 달서천로83길13	대구광역시 서구 원대동3가 1223-13	대구광역시 서구청	053-663-2473	35.883052	128.578038	2018-02-20
대평리시장	시장내	대구광역시	서구	기타	KT	public Wifi		대구광역시 서구 문화로49길25	대구광역시 서구 평리동 676-7	대구광역시 서구청	053-663-2473	35.877999	128.558935	2018-02-20
중평시장	시장내	대구광역시	서구	기타	KT	public Wifi		대구광역시 서구 서대구로17길16	대구광역시 서구 평리동 1437-5	대구광역시 서구청	053-663-2473	35.865386	128.553921	2018-02-20
까치공원	증산동 180-1 (공원CCTV)	서울특별시	은평구	기타	SK	Public WiFi@Seoul	16-Nov	서울특별시 은평구 증산로1길 6-19	서울특별시 은평구 증산동 180-1 (공원CCTV)	서울특별시청	02-2133-2871	37.579989	126.904098	2018-02-14
대구북부고용센터	민원실	대구광역시	서구	서민·복지시설	KT	public Wifi		대구광역시 서구 서대구로9	대구광역시 서구 내당동469-3	대구광역시 서구청	053-663-2473	35.858778	128.556709	2018-02-20
